 1.74294444e-01 1.79780556e-01 1.90725000e-01 2.11027778e-01 2.37005556e-01
 1.42647222e-01 1.50691667e-01 1.63488889e-01 1.85411111e-01 2.13058333e-01
 1.19752778e-01 1.23919444e-01 1.40188889e-01 1.65766667e-01 2.00394444e-01
 8.67916667e-02 9.29222222e-02 1.09183333e-01 1.39852778e-01 1.80141667e-01
 7.01500000e-02 7.50861111e-02 9.32444444e-02 1.21461111e-01 1.65513889e-01
 4.81305556e-02 5.22111111e-02 6.99916667e-02 1.00561111e-01 1.46191667e-01
 3.29500000e-02 3.82111111e-02 5.54083333e-02 8.56027778e-02 1.32872222e-01
 1.90444444e-02 2.37333333e-02 3.75027778e-02 6.57333333e-02 1.12847222e-01
 1.21777778e-02 1.56111111e-02 2.77361111e-02 5.32444444e-02 9.83694444e-02
 6.40277778e-03 9.04166667e-03 1.79861111e-02 4.03805556e-02 8.36500000e-02
 3.07500000e-03 4.91388889e-03 1.11111111e-02 2.83000000e-02 6.70527778e-02
 1.51111111e-03 2.57222222e-03 6.93055556e-03 1.96055556e-02 5.39333333e-02
 5.41666667e-04 1.18611111e-03 3.43333333e-03 1.21944444e-02 4.06027778e-02
 2.91666667e-04 5.55555556e-04 1.85833333e-03 8.14722222e-03 3.06305556e-02
 5.83333333e-05 1.63888889e-04 9.08333333e-04 4.46111111e-03 2.12555556e-02
 2.77777778e-06 7.50000000e-05 3.63888889e-04 2.51388889e-03 1.40333333e-02
